emetteur,fiscal_year,report_year,publication_date,status,resultat_operationnel,resultat_net,chiffre_affaires,capitaux_propres,total_actif,dettes_totales,actifs_courants,passifs_courants,marge_operationnelle,marge_nette,roe,roa,ratio_endettement,autonomie_financiere,ratio_liquidite_generale
CROWN SIEM CI,2021,2021,,ok,2822883834.0,2383609190.0,23056648977.0,5795669420.0,34167069773.0,28371400353.0,18622332953.0,13703831985.0,0.12243252854375969,0.10338055596794456,0.41127418029995233,0.06976334833031571,4.895275816645871,0.16962734757488446,1.3589142783845944
CROWN SIEM CI,2022,2022,,ok,3260942191.0,3857786280.0,29602761049.0,12037064890.0,32641610848.0,19772522423.0,28163239833.0,19772522423.0,0.11015669064119804,0.1303184616331698,0.3204922724313734,0.11818614889946133,1.6426365234124778,0.36876442605887905,1.424362518372449
CROWN SIEM CI,2023,2023,,ok,1460428832.0,1012055129.0,27874878137.0,13049120019.0,30745259764.0,16741603893.0,26600691927.0,16741603893.0,0.05239229476886879,0.03630706918343935,0.07755734697254761,0.03291743627370577,1.2829680368196175,0.42442705376909434,1.588897461498434
FILTISAC CI,2018,2018,,ok,2260417.0,1682581.0,43898979.0,2482295.0,56064645.0,29438769.0,36832706.0,25173487.0,0.051491334228980584,0.038328476842251845,0.6778328119744027,0.03001144482409547,11.859496554599675,0.04427558579921446,1.4631547071726694
FILTISAC CI,2019,2019,,ok,2192357.0,1855141.0,40436698.0,1683029.0,51051574.0,24253586.0,31622760.0,20509226.0,0.054217013466331995,0.04587765796307107,1.102263240859189,0.03633856617231821,14.410676227207018,0.03296723035415128,1.541879737441091
FILTISAC CI,2020,2020,,ok,30688.0,3551668.0,39020184.0,1882970.0,53788997.0,25322311.0,35010903.0,21546060.0,0.000786464769105138,0.09102130323116878,1.886205303324004,0.0660296379945512,13.448069273541268,0.0350066018148656,1.6249329575801794
FILTISAC CI,2021,2021,,ok,1048574.0,1276336.0,41473743.0,32271934.0,53741474.0,5080560.0,34869938.0,,0.02528283979577151,0.03077455536144881,0.03954941157229684,0.023749553277976707,0.15742967248259743,0.6005033282116528,
FILTISAC CI,2022,2022,,ok,203064.0,153483.0,45464126.0,29719262.0,60742819.0,31023557.0,36634076.0,25908048.0,0.00446646659390307,0.0033759144517591737,0.005164428376451609,0.0025267678143156315,1.043887193430308,0.48926379264683123,1.4140037103528602
FILTISAC CI,2023,2023,,ok,1601400.0,3075971.0,38214973.0,31.0,50701178.0,23797254.0,33335463.0,19595550.0,0.041905040728407686,0.08049125142650237,99224.87096774194,0.060668629829468655,767653.3548387097,6.11425635909288e-07,1.7011751647695523
FILTISAC CI,2024,2024,,ok,882181.0,18595275.0,30694517.0,27426156722.0,27443764313.0,17607591.0,53014429.0,14076147.0,0.028740670524315465,0.6058174819952371,0.0006780124239968237,0.0006775774193335239,0.0006419999410955017,0.9993584119583894,3.7662599715675036
MOVIS CI,2018,2018,,ok,82.0,170.0,,2758.0,30007.0,27249.0,15433.0,24666.0,,,0.06163886874546773,0.005665344752890992,9.879985496736765,0.09191188722631385,0.6256790724073623
MOVIS CI,2019,2019,,ok,4968.0,4496.0,,3327.0,28887.0,25560.0,10928.0,16812.0,,,1.3513675984370304,0.15564094575414547,7.682596934174932,0.11517291515214456,0.6500118962645729
NESTLE CI,2019,2019,,parsed_but_empty,,,,,,,,,,,,,,,
NESTLE CI,2020,2020,,ok,27076473678.0,20899537493.0,173224766894.0,1043156491.0,62617078194.0,61573921703.0,53398162616.0,45150107155.0,0.1563083279804249,0.1206498231617704,20.034901448933226,0.33376736979405414,59.02654322169194,0.01665929680985907,1.182680750517036
NESTLE CI,2021,2021,,parsed_but_empty,,,,,,,,,,,,,,,
NESTLE CI,2022,2022,,ok,,,0.0,,,,,,,,,,,,
NESTLE CI,2023,2023,,ok,,,0.0,,,,,,,,,,,,
NESTLE CI,2024,2024,,parsed_but_empty,,,,,,,,,,,,,,,
NSBC,2018,2018,,ok,13117.0,10015.0,,76368462827.0,,,26627.0,,,,1.311405209593823e-07,,,,
PALM CI,2019,2019,,ok,-3978947043.0,-5562420807.0,104587934779.0,65679615745.0,126600342382.0,60920726637.0,35027351101.0,26834166040.0,-0.038044034920545394,-0.053184153781731115,-0.08469021543298921,-0.04393685437450178,0.9275438954077273,0.5187949298495602,1.3053266141674362
PALM CI,2020,2020,,ok,5512352378.0,3521647345.0,119759702243.0,69201263090.0,138598826714.0,69397563624.0,30863321421.0,23476478355.0,0.046028440909239146,0.029405946065683725,0.05088992870577964,0.025408926096228454,1.0028366611422208,0.4992918391206692,1.3146486859868722
PALM CI,2021,2021,,ok,56689991420.0,42473119895.0,195659428255.0,109913559311.0,167045712552.0,57132153241.0,62919277888.0,37448887226.0,0.2897381021992806,0.21707678630055802,0.3864229323592594,0.2542604610805468,0.5197916762875887,0.6579849170135676,1.6801374499671762
PALM CI,2022,2022,,ok,56649930999.0,41693172115.0,232712921927.0,130370171479.0,214327417788.0,83957246309.0,89609941187.0,70900106621.0,0.24343268319569544,0.17916139666743036,0.31980606945597156,0.1945302777652107,0.6439912240394945,0.6082757531654418,1.2638900765835845
PALM CI,2024,2024,,ok,19393765.0,15861643.0,172182502.0,135061151.0,202603319.0,60092981.0,93705506.0,41473506.0,0.11263493545935348,0.0921211087988488,0.11744045480554212,0.07828915675364627,0.44493165173751553,0.6666285215199264,2.259406426840306
PALM CI,2025,2025,,ok,18163004.0,15508655.0,197629996.0,142638984.0,199116293.0,42430129.0,86256798.0,41633570.0,0.09190408524827375,0.07847318379746362,0.1087266227302909,0.07788742330593709,0.29746516562400643,0.7163601825391557,2.0718088311907916
SAFCA CI,2019,2019,,ok,86.0,67.0,,0.0,63371.0,63371.0,2375.0,,,,,0.0010572659418345931,,0.0,
SAFCA CI,2020,2020,,ok,1.403,1.64,,0.0,66.533,66.533,12.162,,,,,0.02464942209129304,,0.0,
SAFCA CI,2021,2021,,ok,550.0,603.0,,0.0,64690.0,64690.0,9015.0,,,,,0.009321378883907869,,0.0,
SAPH CI,2021,2021,,ok,27558059338.0,20750470464.0,208794460641.0,8649304155.0,168289440330.0,64471029816.0,72767075511.0,22857875907.0,0.1319865443431623,0.09938228437811979,2.399091313259523,0.12330227269940557,7.453897869776092,0.05139540625983137,3.183457457161004
SAPH CI,2022,2022,,ok,26283237143.0,16700611131.0,224421228771.0,8649304155.0,183889630318.0,73747158703.0,71580787750.0,31646046844.0,0.11711564581895896,0.07441636079820839,1.930861816363076,0.09081866716529727,8.526368986615894,0.0470353012295624,2.261918782553136
SAPH CI,2023,2023,,ok,7351109818.0,3635138559.0,206469431933.0,8649304155.0,204450597086.0,195801292931.0,73254801209.0,32424987855.0,0.03560386517838369,0.01760618278922574,0.4202810415562268,0.01778003395837928,22.637808709479938,0.04230510587045026,2.259208285183797
SAPH CI,2024,2024,,ok,29445590532.0,18790217905.0,279437727425.0,8649304155.0,230857468705.0,222208164550.0,99086053335.0,32917169803.0,0.10537442743805266,0.06724295276142775,2.1724542886074514,0.08139315574412272,25.690871839851493,0.03746599234375418,3.0101632044310658
SAPH CI,2025,2025,,ok,38134121165.0,24972070150.0,340830548704.0,8649304155.0,225842735644.0,87905827250.0,1016146221799.0,36225398864.0,0.11188586618777009,0.07326828608807426,2.8871767835293567,0.11057282882617897,10.163340966473388,0.03829790730410765,28.05065654663705
SERVAIR ABIDJAN CI,2022,2022,,ok,904931750.0,1268616196.0,10804244269.0,4569435992.0,10181992141.0,5612556149.0,3788557323.0,5051158777.0,0.0837570613426863,0.11741831861761659,0.2776308056882833,0.12459410481094772,1.2282820371761978,0.44877622460541633,0.7500372667457726
SERVAIR ABIDJAN CI,2023,2023,,ok,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,0.0,,0.0,
SERVAIR ABIDJAN CI,2024,2024,,ok,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
SERVAIR ABIDJAN CI,2025,2025,,ok,,1350660521.0,13298319225.0,13303123200.0,17370701747.0,4067578547.0,3883484104.0,3626035045.0,,0.10156625797197315,0.10152958073785259,0.07775509249263722,0.30576117245911094,0.7658368322567919,1.0710001574185006
SETAO CI,2019,2019,,ok,978905.0,865967.0,,525364.0,20644914.0,20119550.0,4596930.0,10059775.0,,,1.6483181184854692,0.04194577899428402,38.296400210140014,0.025447623564816012,0.4569615125586805
SETAO CI,2020,2020,,ok,3108191.0,2320633.0,,2845997.0,18586404.0,15370669.0,12503038.0,14615490.0,,,0.8154024758283301,0.12485648111382923,5.400802952357293,0.15312251901981686,0.855464852700799
