emetteur,fiscal_year,report_year,publication_date,status,status_reason,diagnostic,core_metrics_count,report_title,report_url,resultat_operationnel,resultat_net,chiffre_affaires,capitaux_propres,total_actif,dettes_totales,actifs_courants,passifs_courants,marge_operationnelle,marge_nette,roe,roa,ratio_endettement,autonomie_financiere,ratio_liquidite_generale,company_url,truth_status,truth_reason
SUCRIVOIRE,2022,2023.0,2023-06-12,ok,,,8,SUCRIVOIRE CI : Etats financiers SYSCOHADA exercice 2022,https://www.brvm.org/sites/default/files/20230612_-_etats_financiers_syscohada_exercice_2022_-_sucrivoire_ci.pdf,4860967440.0,8755668861.0,68635110937.0,27687386488.0,124042067779.0,96354681291.0,42276878390.0,37333577041.0,0.0708233347865041,0.1275683646674194,0.3162331289302006,0.070586285909064,3.4800930500522727,0.2232096496273291,1.1324089932119612,https://www.brvm.org/fr/rapports-societe-cotes/sucrivoire,verified_like,passes_rule_checks
TOTAL,2020,2021.0,2021-07-13,ok,,,8,TOTAL CÔTE D'IVOIRE : Etats financiers certifiés et approuvés - exercice 2020,https://www.brvm.org/sites/default/files/20210713_-_etats_financiers_certifies_et_approuves_-_exercice_2020_-_total_ci.pdf,7982.0,7648.0,416080.0,44637.0,128146.0,74658.0,58961.0,70337.0,0.0191838108056143,0.0183810805614304,0.1713376795035508,0.0596819253039501,1.6725586396935277,0.3483292494498463,0.8382643558866599,https://www.brvm.org/fr/rapports-societe-cotes/total,verified_like,passes_rule_checks
TOTAL,2021,2022.0,2022-06-21,ok,,,8,TOTALENERGIES CI : Etats financiers Certifiés et Approuvés Exercice 2021,https://www.brvm.org/sites/default/files/20220621_-_etats_financiers_certifies_et_approuves_exercice_2021-_totalenergies_ci.pdf,16088.0,11143.0,494433.0,48133.0,156297.0,103410.0,78353.0,91927.0,0.0325382812231384,0.0225369261355937,0.231504373298984,0.0712937548385445,2.148422080485322,0.3079585660633281,0.8523393562283116,https://www.brvm.org/fr/rapports-societe-cotes/total,verified_like,passes_rule_checks
TOTAL,2023,2024.0,2024-09-10,ok,,,8,TOTALENERGIES MARKETING CI : Etats financiers définitifs – Exercice 2023,https://www.brvm.org/sites/default/files/20240910_-_etats_financiers_definitifs_2023_-_totalenergies_marketing_ci.pdf,12087.0,8709.0,578922.0,45699.0,167625.0,119641.0,93726.0,103635.0,0.0208784603107154,0.0150434773596443,0.1905730978796035,0.0519552572706935,2.618022276198604,0.2726263982102908,0.9043855840208423,https://www.brvm.org/fr/rapports-societe-cotes/total,verified_like,passes_rule_checks
TOTAL,2024,2025.0,2025-04-30,ok,,,8,TOTALENERGIES MARKETING CÔTE D'IVOIRE : Etats financiers - Exercice 2024,https://www.brvm.org/sites/default/files/20250430_-_etats_financiers_-_exercice_2024_-_totalenergies_marketing_ci.pdf,10491.0,9374.0,621042.0,41115.0,191526.0,147891.0,106956.0,125527.0,0.0168925773136116,0.0150939872021538,0.2279946491548097,0.0489437465409396,3.5970083910981394,0.2146705930265342,0.8520557330295474,https://www.brvm.org/fr/rapports-societe-cotes/total,verified_like,passes_rule_checks
TOTAL SENEGAL S.A.,2024,2025.0,2025-05-02,ok,,,8,TOTALENERGIES MARKETING SN : Etats financiers IFRS - Exercice 2024,https://www.brvm.org/sites/default/files/20250502_-_etats_financiers_-_norme_ifrs_-_exercice_2024_-_totalenergies_marketing_sn.pdf,7208.0,7140.0,484945.0,26911.0,210418.0,183507.0,150004.0,178126.0,0.0148635412263246,0.0147233191392838,0.2653190145293746,0.0339324582497695,6.819033109137528,0.1278930509747265,0.8421229915902226,https://www.brvm.org/fr/rapports-societe-cotes/total-senegal-sa,verified_like,passes_rule_checks
TRACTAFRIC CI,2022,2023.0,2023-08-03,ok,,,7,TRACTAFRIC MOTORS CI : Etats financiers certifiés et approuvés - Exercice 2022,https://www.brvm.org/sites/default/files/20230803_-_etats_financiers_certifies_et_approuves_-_exercice_2022_-_tractafric_motors_ci.pdf,,3644.0,70092.0,11480.0,52169.0,36183.0,36898.0,37527.0,,0.0519888147006791,0.3174216027874564,0.0698499108666066,3.151829268292683,0.2200540550901876,0.9832387347776268,https://www.brvm.org/fr/rapports-societe-cotes/tractafric-ci,verified_like,passes_rule_checks
TRACTAFRIC CI,2024,2025.0,2025-06-13,ok,,,8,TRACTAFRIC MOTORS CÔTE D'IVOIRE : Etats financiers - Normes IFRS - Exercice 2024,https://www.brvm.org/sites/default/files/20250613_-_etats_financiers_-_normes_ifrs_-_exercice_2024_-_tractafric_motors_ci.pdf,1865531.0,2177264.0,74451535.0,11247345.0,43751550.0,32504205.0,38519206.0,32496205.0,0.0250569850574605,0.0292440444646305,0.1935802627197796,0.0497642712086771,2.8899446936143596,0.2570730636971718,1.1853447502562222,https://www.brvm.org/fr/rapports-societe-cotes/tractafric-ci,verified_like,passes_rule_checks
UNILEVER CI,2021,2022.0,2022-05-20,ok,,,8,UNILEVER CI : Etats financiers Exercice 2021,https://www.brvm.org/sites/default/files/20220520_-_etats_financiers_exercice_2021_-_unilever_ci.pdf,-7805437499.0,6090755732.0,46059378554.0,1699751652.0,33741685083.0,32041933431.0,24930646002.0,32041933415.0,-0.1694646724303695,0.132237036695126,3.5833209662325425,0.1805113086977595,18.85095001572618,0.0503754227987973,0.7780630987245312,https://www.brvm.org/fr/rapports-societe-cotes/unilever-ci,verified_like,passes_rule_checks
UNIWAX CI,2020,2021.0,2021-05-04,ok,,,8,UNIWAX CÔTE D'IVOIRE : Etats Financiers - Exercice 2020,https://www.brvm.org/sites/default/files/20210504_-_etats_financiers_-_exercice_2020_-_uniwax_ci.pdf,675545879.0,369763628.0,34916710441.0,4187244062.0,42173032621.0,37985788559.0,16690950631.0,5281426728.0,0.0193473517541548,0.010589875831081,0.0883071592018416,0.0087677742154088,9.071787552038804,0.0992872412005526,3.1603109331255688,https://www.brvm.org/fr/rapports-societe-cotes/uniwax-ci,verified_like,passes_rule_checks
