publication_status,core_metrics_present,missing_core_metrics,all_metrics_present,missing_all_metrics,has_all_core_metrics,has_all_metrics,balance_sheet_gap_pct,suspicious_flags,emetteur,fiscal_year,report_year,publication_date,status,status_reason,diagnostic,core_metrics_count,report_title,report_url,resultat_operationnel,resultat_net,chiffre_affaires,capitaux_propres,total_actif,dettes_totales,actifs_courants,passifs_courants,marge_operationnelle,marge_nette,roe,roa,ratio_endettement,autonomie_financiere,ratio_liquidite_generale,company_url,truth_status,truth_reason
review,7,1,13,2,False,False,0.5052687741763372,,SERVAIR ABIDJAN CI,2020,2021.0,2021-08-27,ok,,,7,SERVAIR ABIDJAN CI : Etats financiers annuels IFRS 2020,https://www.brvm.org/sites/default/files/20210827_-_etats_financiers_annuels_ifrs_2020_-_servair_abidjan_ci.pdf,-976.0,13.0,5708.0,3684.0,7497.0,25.0,19.0,,-0.1709880868955851,0.0022775052557813,0.003528773072747,0.0017340269441109,0.006786102062975,0.4913965586234494,,https://www.brvm.org/fr/rapports-societe-cotes/servair-abidjan-ci,needs_review,balance_sheet_gap_gt_10pct
review,5,3,8,7,False,False,,,SGCI,2021,2022.0,2022-06-30,ok,,,5,SOCIÉTÉ GENERALE CI : États financiers certifiés Exercice 2021,https://www.brvm.org/sites/default/files/20220630_-_etats_financiers_certifies_exercice_2021_-_societe_generale_ci_0.pdf,80504.0,67438.0,189096.0,304993.0,,,44234.0,,0.4257308457080002,0.3566336675551043,0.2211132714521317,,,,,https://www.brvm.org/fr/rapports-societe-cotes/sgci,verified_like,passes_rule_checks
review,8,0,15,0,True,True,0.05487066949620509,extreme_roe,SODECI,2020,2021.0,2021-06-04,ok,,,8,SODECI : Etats financiers exercice 2020,https://www.brvm.org/sites/default/files/20210604_-_etats_financiers_2020_-_sodeci.pdf,6372159.0,4307472.0,127480235.0,1276856.0,271676820.0,255492875.0,231248219.0,148077848.0,0.049985466374454,0.0337893321266626,3.373498656073982,0.0158551325799529,200.0952926563371,0.0046999077801337,1.5616665296216352,https://www.brvm.org/fr/rapports-societe-cotes/sodeci,verified_like,passes_rule_checks
review,7,1,12,3,False,False,0.8182018786146205,,SODECI,2021,2022.0,2022-04-26,ok,,,7,SODECI : Etats financiers individuels consolidés IFRS exercice 2021,https://www.brvm.org/sites/default/files/20220426_-_etats_financiers_individuels_-_consolides_ifrs_exercice_2021_-_sodeci.pdf,6.699,5.184,,23.956,303.628,31.243,225.0,26.927,,,0.2163967273334446,0.0170735241809055,1.3041826682250792,0.0788991792588298,8.35592527945928,https://www.brvm.org/fr/rapports-societe-cotes/sodeci,needs_review,balance_sheet_gap_gt_10pct
review,8,0,13,2,True,False,0.0,,SODECI,2023,2024.0,2024-04-30,ok,,,8,SODECI : Etats Financiers Individuel et consolidé - Exercice 2023,https://www.brvm.org/sites/default/files/20240430_-_etats_financiers_individuel_et_consolide_-_exercice_2023_-_sodeci.pdf,0.0,31.0,0.0,26.741,52.089,25.348,608.0,22.586,,,1.1592685389476831,0.5951352492848778,0.947907707265996,0.5133713451976425,26.919330558753213,https://www.brvm.org/fr/rapports-societe-cotes/sodeci,needs_review,zero_revenue
review,6,2,10,5,False,False,0.0,extreme_roe,SOGB,2020,2021.0,2021-07-06,ok,,,6,SOGB CI : Etats financiers certifiés et approuvés - exercice 2020,https://www.brvm.org/sites/default/files/20210706_-_etats_financiers_certifie_et_approuves_-_sogb_ci.pdf,11218699.0,7652581.0,,3024258.0,11608629.0,8584371.0,24306540.0,,,,2.530399522792037,0.6592148823086689,2.8385048497846412,0.2605181025252853,,https://www.brvm.org/fr/rapports-societe-cotes/sogb,verified_like,passes_rule_checks
review,7,1,12,3,False,False,0.0,extreme_roa,SOGB,2022,2023.0,2023-04-24,ok,,,7,SOGB CI : États financiers exercice 2022,https://www.brvm.org/sites/default/files/20230424_-_etats_financiers_exercice_2022_-_sogb_ci.pdf,21852242.0,15652983.0,,13004308.0,19385799.0,6381491.0,26983990.0,2749889.0,,,1.2036767354325966,0.807445852502649,0.4907213055858105,0.6708161990124833,9.812756078518078,https://www.brvm.org/fr/rapports-societe-cotes/sogb,verified_like,passes_rule_checks
review,7,1,12,3,False,False,0.0,extreme_roe;extreme_roa,SOGB,2024,2025.0,2025-04-30,ok,,,7,SOGB CÔTE D'IVOIRE : Etats financiers - Exercice 2024,https://www.brvm.org/sites/default/files/20250430_-_etats_financiers_-_exercice_2024_-_sogb_ci.pdf,18383382.0,13110790.0,,5177907.0,5841575.0,663668.0,25682184.0,654345.0,,,2.5320636311158156,2.244392993327998,0.128173024351345,0.8863888591689741,39.24868991128533,https://www.brvm.org/fr/rapports-societe-cotes/sogb,verified_like,passes_rule_checks
review,7,1,12,3,False,False,0.30729151705377433,,SUCRIVOIRE,2021,2022.0,2022-06-07,ok,,,7,SUCRIVOIRE CI : Etats financiers exercice 2021,https://www.brvm.org/sites/default/files/20220607_-_etats_financiers_exercice_2021_-_sucrivoire_ci.pdf,2715412080.0,6572600809.0,,36443055349.0,107246529979.0,37847525734.0,39919102864.0,26401282847.0,,,0.1803526281223386,0.0612849740713008,1.038538766070791,0.339806382137827,1.512013756882122,https://www.brvm.org/fr/rapports-societe-cotes/sucrivoire,needs_review,balance_sheet_gap_gt_10pct
review,8,0,15,0,True,True,0.35375122491976996,,SUCRIVOIRE,2023,2024.0,2024-05-10,ok,,,8,SUCRIVOIRE CÔTE D'IVOIRE : Etats financiers IFRS - Exercice 2023,https://www.brvm.org/sites/default/files/20240510_-_etats_financiers_ifrs_-_exercice_2023_-_sucrivoire_ci.pdf,8865139.0,9010129.0,68134694.0,22310492.0,124182623.0,57942376.0,44065205.0,57942376.0,0.1301119661592668,0.1322399569300186,0.4038516497081283,0.0725554734014597,2.597090911307559,0.179658727292304,0.76050048413617,https://www.brvm.org/fr/rapports-societe-cotes/sucrivoire,needs_review,balance_sheet_gap_gt_10pct
review,7,1,13,2,False,False,0.14076254109661682,,TRACTAFRIC CI,2021,2022.0,2022-06-16,ok,,,7,TRACTAFRIC MOTORS CI : États financiers certifiés Exercice 2021,https://www.brvm.org/sites/default/files/20220616_-_etats_financiers_certifies_exercice_2021_-_tractafric_motors_ci.pdf,,3067.0,65019.0,9837.0,37716.0,22570.0,27451.0,24218.0,,0.0471708269890339,0.3117820473721663,0.0813182734118146,2.294398698790282,0.2608176901049952,1.1334957469650673,https://www.brvm.org/fr/rapports-societe-cotes/tractafric-ci,needs_review,balance_sheet_gap_gt_10pct
review,8,0,15,0,True,True,0.0,extreme_roe,UNILEVER CI,2021,2022.0,2022-05-20,ok,,,8,UNILEVER CI : Etats financiers Exercice 2021,https://www.brvm.org/sites/default/files/20220520_-_etats_financiers_exercice_2021_-_unilever_ci.pdf,-7805437499.0,6090755732.0,46059378554.0,1699751652.0,33741685083.0,32041933431.0,24930646002.0,32041933415.0,-0.1694646724303695,0.132237036695126,3.5833209662325425,0.1805113086977595,18.85095001572618,0.0503754227987973,0.7780630987245312,https://www.brvm.org/fr/rapports-societe-cotes/unilever-ci,verified_like,passes_rule_checks
review,8,0,15,0,True,True,0.16210550978860702,,VIVO ENERGY CI,2022,2023.0,2023-11-03,ok,,,8,VIVO ENERGY : Etats financiers - Exercice 2022,https://www.brvm.org/sites/default/files/20231103_-_etats_financiers_-_exercice_2022_-_vivo_energy_ci.pdf,4363474241.0,3548638458.0,488901792280.0,3548638458.0,119461700193.0,96547661925.0,59723429880.0,79528604069.0,0.0089250526586349,0.0072583870913028,1.0,0.0297052398573508,27.206959251468497,0.0297052398573508,0.7509679137355814,https://www.brvm.org/fr/rapports-societe-cotes/vivo-energy-ci,needs_review,balance_sheet_gap_gt_10pct
