emetteur,fiscal_year,report_year,publication_date,status,status_reason,diagnostic,core_metrics_count,report_title,report_url,resultat_operationnel,resultat_net,chiffre_affaires,capitaux_propres,total_actif,dettes_totales,actifs_courants,passifs_courants,marge_operationnelle,marge_nette,roe,roa,ratio_endettement,autonomie_financiere,ratio_liquidite_generale,company_url,truth_status,truth_reason
BANK OF AFRICA CI,2025,,,missing_report,nearest_report_is_different_fiscal_year,fy=2024 pub=2025 title=BOA CÔTE D'IVOIRE :  Etats financiers - Exercice 2024 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ci,missing_or_error,missing_report
BANK OF AFRICA ML,2020,2021.0,2021-03-31,ok,,,7,BOA MALI : Etats financiers de l'exercice 2020,https://www.brvm.org/sites/default/files/20210331-_etats_financiers_2020_-boa_ml.pdf,-1963034937.0,528378608.0,32348310259.0,26839742203.0,579477949704.0,552638207501.0,20910556581.0,,-0.0606843115230057,0.0163340404419731,0.019686426345069,0.0009118183155543,20.590294918675824,0.0463171070041748,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ml,verified_like,passes_rule_checks
BANK OF AFRICA ML,2021,2022.0,2022-03-22,ok,,,7,BOA MALI : États financiers exercice 2021,https://www.brvm.org/sites/default/files/20220322_-_etats_financiers_exercice_2021_-_boa_ml.pdf,1986073855.0,2095292328.0,35407562442.0,32186115601.0,581464087673.0,547291834103.0,10134938935.0,,0.0560917984188638,0.0591764070580185,0.0650992606245067,0.0036034767622284,17.003972796456246,0.0553535743364784,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ml,verified_like,passes_rule_checks
BANK OF AFRICA ML,2022,,,missing_report,nearest_report_is_different_fiscal_year,fy=2021 pub=2022 title=BOA MALI : États financiers exercice 2021 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ml,missing_or_error,missing_report
BANK OF AFRICA ML,2023,,,missing_report,no_candidate_for_fiscal_year,fy=2020 pub=2021 title=BOA MALI : Etats financiers de l'exercice 2020 [score=60]; fy=2021 pub=2022 title=BOA MALI : États financiers exercice 2021 [score=60]; fy=2025 pub=2026 title=BOA ML : Etats financiers - Exercice 2025 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ml,missing_or_error,missing_report
BANK OF AFRICA ML,2024,,,missing_report,nearest_report_is_different_fiscal_year,fy=2025 pub=2026 title=BOA ML : Etats financiers - Exercice 2025 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ml,missing_or_error,missing_report
BANK OF AFRICA ML,2025,2026.0,2026-03-24,ok,,,7,BOA ML : Etats financiers - Exercice 2025,https://www.brvm.org/sites/default/files/20260324_-_etats_financiers_-_exercice_2025_-_boa_ml.pdf,9414331581.0,11081189907.0,37996330474.0,49820422180.0,593455473338.0,543635051158.0,18779853606.0,,0.2477694941473889,0.291638423204646,0.2224226416019503,0.0186723189941644,10.911891697622703,0.0839497222930236,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ml,verified_like,passes_rule_checks
BANK OF AFRICA NG,2020,,,missing_report,nearest_report_is_different_fiscal_year,fy=2021 pub=2022 title=BOA NIGER : États financiers exercice 2021 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ng,missing_or_error,missing_report
BANK OF AFRICA NG,2021,2022.0,2022-03-17,ok,,,7,BOA NIGER : États financiers exercice 2021,https://www.brvm.org/sites/default/files/20220317_-_etats_financiers_exercice_2021_-_boa_ng.pdf,8571727799.0,7420997114.0,24254744453.0,37238956175.0,329784637704.0,292545681529.0,2021.0,,0.3534041686404899,0.3059606390980597,0.1992804814164477,0.0225025555030879,7.85590445001242,0.112919014161066,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ng,verified_like,passes_rule_checks
BANK OF AFRICA NG,2022,,,missing_report,nearest_report_is_different_fiscal_year,fy=2021 pub=2022 title=BOA NIGER : États financiers exercice 2021 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ng,missing_or_error,missing_report
BANK OF AFRICA NG,2023,,,missing_report,no_candidate_for_fiscal_year,fy=2021 pub=2022 title=BOA NIGER : États financiers exercice 2021 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ng,missing_or_error,missing_report
BANK OF AFRICA NG,2024,,,missing_report,no_candidate_for_fiscal_year,fy=2021 pub=2022 title=BOA NIGER : États financiers exercice 2021 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ng,missing_or_error,missing_report
BANK OF AFRICA NG,2025,,,missing_report,no_candidate_for_fiscal_year,fy=2021 pub=2022 title=BOA NIGER : États financiers exercice 2021 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ng,missing_or_error,missing_report
BANK OF AFRICA SN,2020,2021.0,2021-03-11,ok,,,7,BANK OF AFRICA SENEGAL : Etats financiers exercice 2020,https://www.brvm.org/sites/default/files/20210311_-_etats_financiers_exercice_2020_-_boa_sn.pdf,7632.0,7667.0,29997.0,46551.0,561588.0,515037.0,23543.0,,0.2544254425442544,0.2555922258892556,0.1647010805353268,0.0136523572441006,11.06392988335374,0.0828917284557362,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-sn,verified_like,passes_rule_checks
BANK OF AFRICA SN,2021,2022.0,2022-03-30,ok,,,7,BOA SENEGAL : États financiers exercice 2021,https://www.brvm.org/sites/default/files/20220330_-_etats_financiers_exercice_2021_-_boa_sn.pdf,7632.0,7667.0,29997.0,46551.0,561588.0,515037.0,23543.0,,0.2544254425442544,0.2555922258892556,0.1647010805353268,0.0136523572441006,11.06392988335374,0.0828917284557362,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-sn,verified_like,passes_rule_checks
BANK OF AFRICA SN,2022,2023.0,2023-03-10,ok,,,7,BANK OF AFRICA SENEGAL : Etats financiers certifiés exercice 2022,https://www.brvm.org/sites/default/files/20230310_-_etats_financiers_certifies_2022_-_boa_sn.pdf,10933.0,11070.0,35727.0,53327.0,626289.0,572962.0,33448.0,,0.3060150586391245,0.3098496935091107,0.2075871509741781,0.0176755459540244,10.744313387214731,0.0851475916070695,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-sn,verified_like,passes_rule_checks
BANK OF AFRICA SN,2023,,,missing_report,nearest_report_is_different_fiscal_year,fy=2022 pub=2023 title=BANK OF AFRICA SENEGAL : Etats financiers certifiés exercice 2022 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-sn,missing_or_error,missing_report
BANK OF AFRICA SN,2024,,,missing_report,nearest_report_is_different_fiscal_year,fy=2025 pub=2026 title=BOA SN : Etats financiers - Exercice 2025 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-sn,missing_or_error,missing_report
